"ID","LINK","SOCIAL_NETWORK_NAME","INFLUENCER_ID","SOCIAL_NETWORK_USER_ID"
"6568","https://www.instagram.com/healthyfit.moodon","Instagram","6518",
"6569","https://www.instagram.com/sebas_taits","Instagram","6519","28071501"
"6570","https://www.instagram.com/weddingfactory","Instagram","6520","5872355753"
"6571","https://www.instagram.com/fernanda.cobac","Instagram","6521","37293403"
"6572","https://www.instagram.com/deltabru","Instagram","6522","46658588"
"6573","https://www.instagram.com/cande.copello","Instagram","6523","329462208"
"6574","https://www.instagram.com/agussdici","Instagram","6524","416301913"
"6575","https://www.instagram.com/_meri","Instagram","6525","27723539"
"6576","https://www.instagram.com/lulufernandezz","Instagram","6526",
"6577","https://www.instagram.com/unamentedemujer","Instagram","6527","632486743"
"6578","https://www.instagram.com/ivileturia","Instagram","6528","227185046"
"6579","https://www.instagram.com/camimaximoff","Instagram","6529",
